"propertyid","address","city","state","zipcode","price","bedrooms","bathrooms","squarefeet","datelisted","geometry"
38523554,"15430 SW 82ND LN APT 622","Miami","FL","33193",200000,3,2,1170,,"POINT(-80.443091 25.69008)"
38523564,"15319 SW 24TH ST","Miami","FL","33185",,4,3,2110,,"POINT(-80.442914 25.74433)"
38523578,"12312 SW 147TH TER","Miami","FL","33186",102000,3,2,1464,,"POINT(-80.392711 25.630786)"
38523582,"1043 NW 77TH ST","Miami","FL","33150",73500,3,2,1771,,"POINT(-80.21405 25.844908)"
38523581,"1865 BRICKELL AVE APT A1913","Miami","FL","33129",485000,,,1467,,"POINT(-80.196305 25.754149)"
38523586,"200 BISCAYNE BOULEVARD WAY APT 4508","Miami","FL","33131",765000,2,2.5,1500,,"POINT(-80.189544 25.770527)"
38523585,"1019 NW 77TH ST","Miami","FL","33150",,3,1,1492,,"POINT(-80.213615 25.844923)"
38523589,"3900 BISCAYNE BLVD # S-404","Miami","FL","33137",295800,1,1,780,,"POINT(-80.189633 25.813714)"
38523587,"3900 BISCAYNE BLVD # S-1104","Miami","FL","33137",581800,1,1,780,,"POINT(-80.189633 25.813714)"
38523605,"1238 SW 149TH PATH","Miami","FL","33194",289000,4,3,2898,,"POINT(-80.438252 25.755214)"
38523616,"8488 SW 166TH PL","Miami","FL","33193",267000,4,2.5,2078,,"POINT(-80.461894 25.686714)"
38523621,"900 BISCAYNE BLVD APT 4008","Miami","FL","33132",1100000,2,3,1450,,"POINT(-80.190087 25.783418)"
38523623,"16455 SW 88TH ST","Miami","FL","33196",12500000,,,81767,,"POINT(-80.459162 25.684055)"
